date,open,close,volume,turn
20200511,9.08,9.11,20792,1888.39
20200512,9.07,8.99,19464,1751.44
20200513,8.99,9.01,11096,996.49
20200514,8.96,8.90,9091,812.90
20200515,8.91,8.83,10984,975.33
20200518,8.86,9.01,17412,1560.79
20200519,9.01,9.07,12932,1171.45
20200520,9.08,9.01,11249,1015.55
20200521,9.01,8.90,9238,827.72
20200522,8.90,8.73,9912,867.40
20200525,8.74,8.78,7436,650.18
20200526,8.75,8.96,11189,997.72
20200527,8.90,8.94,8641,775.58
20200528,8.91,8.98,11263,1005.17
20200529,8.98,9.24,31472,2887.49
20200601,9.25,9.28,22269,2056.47
20200602,9.29,9.30,17942,1667.45
20200603,9.31,9.20,19149,1774.71
20200604,9.21,9.27,10818,998.11
20200605,9.27,9.22,9235,849.51
20200608,9.26,9.23,11522,1064.61
20200609,9.23,9.26,9566,882.51
20200610,9.26,9.18,9976,914.37
20200611,9.13,9.05,9946,906.30
20200612,8.85,9.06,11908,1072.15
20200615,9.06,8.96,13125,1185.84
20200616,8.96,9.12,10566,956.37
20200617,9.12,9.12,11214,1016.11
20200618,9.15,9.18,10582,970.32
20200619,9.09,9.04,8200,741.53
20200622,9.06,9.55,58095,5420.53
20200623,9.55,9.14,62702,5841.76
20200624,9.02,8.92,35105,3151.80
20200629,8.92,8.83,16193,1427.96
20200630,8.84,8.87,14643,1299.87
20200701,8.89,8.86,12759,1130.05
20200702,8.86,8.98,17159,1531.96
20200703,8.98,9.32,51373,4744.77
20200706,9.35,9.51,52494,4956.21
20200707,9.53,9.46,45063,4270.52
20200708,9.41,9.63,46874,4466.96
20200709,9.62,9.77,56887,5535.67
20200710,9.72,9.60,40278,3909.44
20200713,9.61,9.84,44110,4311.75
20200714,9.78,9.78,43849,4271.74
20200715,9.79,9.51,32526,3121.51
20200716,9.53,9.36,31812,3015.18
20200717,9.39,9.54,22852,2155.88
20200720,9.51,9.76,34348,3328.05
20200721,9.79,9.76,36814,3586.21
20200722,9.70,9.77,37319,3647.86
20200723,9.75,9.69,35385,3391.36
20200724,9.60,9.32,28338,2703.78
20200727,9.27,9.26,18337,1693.34
20200728,9.26,9.50,22830,2162.52
20200729,9.43,9.57,18778,1788.28
20200730,9.55,9.56,19816,1898.56
20200731,9.53,9.67,25670,2471.49
20200803,9.77,9.82,37822,3695.97
20200804,9.82,9.90,61290,6065.74
20200805,9.86,10.24,93341,9508.75
20200806,10.14,10.14,48967,4963.87
20200807,10.12,10.28,85410,8747.80
20200810,10.20,10.23,39380,4051.31
20200811,10.20,9.91,45359,4553.44
20200812,9.83,10.03,34595,3407.08
20200813,10.02,10.01,29278,2949.10
20200814,10.01,10.14,29254,2920.40
20200817,10.10,10.22,33492,3412.99
20200818,10.32,10.19,28461,2910.52
20200819,10.20,10.02,22062,2224.39
20200820,9.97,9.98,19965,1991.61
20200821,9.97,10.02,17224,1726.90
20200824,10.03,9.94,16489,1641.74
20200825,9.96,9.93,17331,1720.39
20200826,9.90,9.71,21020,2060.42
20200827,9.71,10.06,27834,2757.98
20200828,10.06,10.09,20294,2041.38
20200831,10.15,10.09,22768,2314.44
20200901,10.10,10.18,16296,1649.18
20200902,10.18,10.15,17160,1738.06
20200903,10.15,10.20,22432,2282.89
20200904,10.00,10.22,20973,2124.98
20200907,10.18,10.08,39177,4008.59
20200908,10.10,10.34,34341,3514.65
20200909,10.29,10.25,33758,3470.87
20200910,10.26,9.54,49217,4858.25
20200911,9.50,9.59,23096,2193.72
20200914,9.59,9.99,30539,3004.65
20200915,10.06,9.86,20066,1987.25
20200916,9.86,9.77,13966,1365.97
20200917,9.77,9.84,12077,1187.76
20200918,9.85,9.91,14108,1393.89
20200921,9.91,9.73,17428,1705.37
20200922,9.69,9.50,15687,1501.43
20200923,9.55,9.52,11096,1054.13
20200924,9.46,9.29,12721,1187.17
20200925,9.33,9.14,12808,1176.72
20200928,9.15,8.94,11839,1067.10
20200929,8.94,9.00,9842,887.61
20200930,9.01,8.91,9072,811.09
20201009,8.98,9.19,12413,1140.34
20201012,9.24,9.39,12091,1127.76
20201013,9.39,9.30,11045,1029.31
20201014,9.30,9.22,10162,938.15
20201015,9.22,9.26,11399,1051.54
20201016,9.27,9.21,10564,973.04
20201019,9.27,9.16,14405,1330.80
20201020,9.13,9.22,8966,820.82
20201021,9.20,9.14,12472,1135.35
20201022,9.14,9.18,9404,860.48
20201023,9.19,9.16,9163,845.60
20201026,9.31,9.18,8475,777.64
20201027,9.12,9.10,6311,574.77
20201028,9.14,9.11,9929,898.48
20201029,9.01,9.03,7678,695.63
20201030,9.06,8.92,11762,1058.66
20201102,8.93,8.81,12019,1061.65
20201103,8.84,9.05,13356,1198.84
20201104,9.08,8.99,7698,691.91
20201105,9.04,9.16,11033,1005.52
20201106,9.18,9.13,9091,828.51
20201109,9.18,9.19,16735,1543.20
20201110,9.25,9.15,13443,1238.38
20201111,9.15,9.09,7597,690.32
20201112,9.06,9.11,6569,598.93
20201113,9.13,9.19,8402,765.67
20201116,9.20,9.34,16767,1551.63
20201117,9.25,9.28,18893,1756.54
20201118,9.24,9.34,12158,1133.03
20201119,9.31,9.40,14224,1332.24
20201120,9.38,9.31,10721,999.43
20201123,9.35,9.34,10654,995.92
20201124,9.34,9.36,9660,902.00
20201125,9.40,9.25,26404,2483.54
